Código,Nome,Nome Comercial,Marca,Categoria,Qtd Disponível,Unidade,Status,Pedidos por:
8214611,ABAIXADOR DE LINGUA (225800),-,-,Médico-Hospitalar,1950000.0,FOB,disponivel,Almox
8720207,ABRASIVO ODONTOLOGICO (314501),PEDRA POMES,RIO,Odontológico,10000.0,un,disponivel,Almox
6911889,ACENDEDOR (340472),-,FIAT LUX PINHEIRO,Gêneros alimentícios e copa,110000.0,un,disponivel,Almox
7839588,ACUCAR NOVO (479764),-,DA CANA,Gêneros alimentícios e copa,2260000.0,un,disponivel,Almox
8785830,ADAPTADOR DE CONECTOR,-,-,Informática,0.0,un,disponivel,Almox
8087512,ADOCANTE DIETETICO (357057),-,ZEROCAL,Gêneros alimentícios e copa,680000.0,un,disponivel,Almox
10113037,AGENDA EXECUTIVA/COMERCIAL (220965),-,TILIBRA/NAPOLI,Papelaria,260000.0,un,disponivel,Almox
8709467,AGUA OXIGENADA (224120),-,RIOQUINICA,Médico-Hospitalar,80000.0,un,disponivel,Almox
5654670,"AGUA PARA INJEÇÃO. LIQ, ESTERIL,10ML,IV",-,-,Médico-Hospitalar,0.0,un,disponivel,e-mail padronizados@fob.usp.br
8634521,AGULHA GENGIVAL DESCARTAVEL (224014),AGULHA GENGIVAL EXTRA CURTA 30 G,DFL,Odontológico,170000.0,un,disponivel,Almox
5653533,AGULHA GENGIVAL DESCARTAVEL (224014),AGULHA GENGIVAL CURTA 30 G,DFL,Odontológico,170000.0,un,disponivel,Almox
9437320,AGULHA GENGIVAL LONGA,AGULHA GENGIVAL LONGA,DFL,Odontológico,0.0,un,disponivel,Almox
8981060,"AGULHA HIP. PARA IRRIGAÇÃO ENDO,CANULA AÇO INOX,25X6, ESTERIL, DESCARTAVEL",-,MEDIX,Médico-Hospitalar,0.0,un,disponivel,e-mail padronizados@fob.usp.br
5993075,"AGULHA HIPODERMICA C/PONTA ROMBA, CALIBRE 25 MM X 12 MM, ESTERIL,",-,MEDIX,Médico-Hospitalar,0.0,un,disponivel,e-mail padronizados@fob.usp.br
8613974,AGULHA HIPODERMICA DESCARTAVEL 30 X 07 MM,-,MEDIX,Médico-Hospitalar,0.0,un,disponivel,e-mail padronizados@fob.usp.br
5659752,AGULHA HIPODERMICA DESCARTAVEL BIPOLAR (225789),-,-,Médico-Hospitalar,4500000.0,FOB,disponivel,Almox
8620849,AH PLUS,AH PLUS,DENTSPLY,Odontológico,0.0,un,disponivel,Almox
5804736,ALCOOL ETILICO (228060),-,TAMINI,Limpeza,1240000.0,un,disponivel,Almox
9242830,ALCOOL ETILICO (273953),-,TAMINI,Limpeza,280000.0,un,disponivel,Almox
8720720,ALGINATO (227471),JELTRAT PLUS,DENTSPLY,Odontológico,1140000.0,un,disponivel,Almox
5664691,ALGODAO EM ROLOS (229750),-,SS PLUS,Odontológico,1530000.0,un,disponivel,Almox
8721971,ANESTESICO LOCAL INJETAVEL (229504),MEPIADRE 3%,DFL,Odontológico,20000.0,un,disponivel,Almox
8776652,ANESTESICO LOCAL INJETAVEL (229504),ARTICAINE  ARTICAINA 4%,DFL,Odontológico,830000.0,un,disponivel,Almox
8359024,ANESTESICO LOCAL INJETAVEL (229504),MEPIADRE MEPIVACAINA 2%,DFL,Odontológico,1410000.0,un,disponivel,Almox
8829004,ANESTESICO TOPICO (229474),BENZOTOP,DFL,Odontológico,510000.0,un,disponivel,Almox
5773989,ANTISSEPTICO BUCAL (236799),LISTERINE,COOLMINT,Odontológico,790000.0,un,disponivel,Almox
8503443,ANTISSEPTICO BUCAL (236799),PERIOPLAK,PERIOPLAK,Odontológico,800000.0,un,disponivel,Almox
9816275,APAGADOR DE QUADRO E LOUSA (485470),-,LYKE,Papelaria,80000.0,un,disponivel,Almox
8395470,APLICADOR DESCARTAVEL (233609),MICROBRUSH REGULAR,KG SORENSEN,Odontológico,190000.0,un,disponivel,Almox
9207040,APONTADOR PARA LAPIS (219584),-,LEONORA,Papelaria,140000.0,un,disponivel,Almox
9870547,APRESENTADOR WIRELESS,-,-,Informática,0.0,un,disponivel,Almox
8526796,AVENTAL DESCARTAVEL (225894),-,ROBISA,Descartáveis médico-hospitalar,72470000.0,un,disponivel,Almox
MAT005,Agulha descartavel 25x7,-,-,Médico-Hospitalar,500.0,UN,disponivel,Almox
8291578,BABADOR ODONTOLOGICO (273856),-,SUPRIMED,Descartáveis médico-hospitalar,2590000.0,un,disponivel,Almox
9121951,BATERIA BOTAO (556220),-,FLEXGOLD,Papelaria,320000.0,un,disponivel,e-mail padronizados@fob.usp.br
9879944,BIODINAMICA,BIODINAMICA,BIOPLIC KIT,Odontológico,0.0,un,disponivel,Almox
8493634,BOBINA DE PAPEL (222437),-,SILFER,Papelaria,300000.0,un,disponivel,Almox
9232451,BORRACHA DE PAPELARIA (219576),-,-,Papelaria,7040000.0,FOB,disponivel,Almox
6871011,"CABO HDMI 1,5 METROS TERMINAL HDMI MACHO NAS 2 PONTAS",-,-,Informática,0.0,un,disponivel,Almox
9266712,"CABO HDMI 2.0,5M,ULTRA HD 4K @ 60HZ",-,-,Informática,0.0,un,disponivel,Almox
8457077,CADERNO ESPIRAL (220663),-,TAMOIO/CD,Papelaria,230000.0,un,disponivel,Almox
9091998,CAFE ESPECIAL (359840),-,AROMA DE OURO,Gêneros alimentícios e copa,3010000.0,un,disponivel,Almox
9594744,CAIXA DE SOM PARA COMPUTADOR USB 5V 2X3W,-,-,Informática,0.0,un,disponivel,Almox
5614899,"CAIXA PARA ARQUIVO MORTO PAPEL KRAFT 360X250X135MM, PARDA",-,DUBRAVAL,Papelaria,0.0,un,disponivel,e-mail padronizados@fob.usp.br
8321159,CAMPO CIRURGICO DESCARTAVEL (225835),-,SUPRIMED,Descartáveis médico-hospitalar,2320000.0,un,disponivel,Almox
8657017,CAMPO CIRURGICO DESCARTAVEL (225835),-,SUPRIMED,Descartáveis médico-hospitalar,130300000.0,un,disponivel,Almox
8084432,CANETA ESFEROGRAFICA (222399),-,BIC,Papelaria,1910000.0,un,disponivel,Almox
9550348,CANETA ESFEROGRAFICA (222399),-,BIC,Papelaria,1750000.0,un,disponivel,Almox
8182957,CANETA ESFEROGRAFICA (222399),-,BIC,Papelaria,2080000.0,un,disponivel,Almox
9189254,CANETA MARCA TEXTO (220574),-,LYKE,Papelaria,400000.0,un,disponivel,Almox
8781397,CANETA PERMANENTE (221899),-,TWI,Papelaria,300000.0,un,disponivel,Almox
7931409,CANETA PERMANENTE (221899),-,TWI,Papelaria,330000.0,un,disponivel,Almox
8671842,CANUDO DESCARTAVEL (341231),-,-,Descartáveis Higiene e Limpeza,390000.0,un,disponivel,Almox
5489954,CARBONO PARA ARTICULAÇÃO (80578),-,-,Odontológico,390000.0,FOB,disponivel,Almox
10176969,CARBONO PARA ODONTOLOGIA (224324),-,IODONTOSUL,Odontológico,70000.0,un,disponivel,Almox
8389241,CARBONO PARA ODONTOLOGIA (224324),SUPERFILM,KOTA,Odontológico,130000.0,un,disponivel,Almox
8698007,CARBONO PARA ODONTOLOGIA (224324),CONTACTO FILM,ANGELUS,Odontológico,100000.0,un,disponivel,Almox
7307713,CARTUCHO DE TONER PARA IMPRESSORA (353531),-,SAMSUNG,Papelaria,290000.0,un,disponivel,Almox
8718725,CERA ODONTOLOGICA (314480),CERA UTILIDADE,LYSANDRA,Odontológico,490000.0,un,disponivel,Almox
8996440,CERA ODONTOLOGICA (314480),CERA Nº 7,LYSANDRA,Odontológico,310000.0,un,disponivel,Almox
8056501,CHA NOVO (482480),-,PICOLO 250G,Gêneros alimentícios e copa,1900000.0,un,disponivel,Almox
8737231,CIMENTO CIRURGICO ODONTOLOGICO (224057),PERICEM,MAQUIRA,Odontológico,90000.0,un,disponivel,Almox
5707811,CIMENTO DE OXIDO DE ZINCO (223999),CIMENTO ÓXIDO DE ZINCO,BIODINAMICA,Odontológico,110000.0,un,disponivel,Almox
8373507,CIMENTO ENDODONTICO (224022),ANGELUS,MTA,Odontológico,80000.0,un,disponivel,Almox
8939470,CIMENTO ENDODONTICO (224022),SEALER 26,DENTSPLY,Odontológico,50000.0,un,disponivel,Almox
8976996,CIMENTO PROVISORIO (234907),TEMP BOND,KERR,Odontológico,110000.0,un,disponivel,Almox
8977062,CIMENTO PROVISORIO (234907),IRM KIT,DENTSPLY,Odontológico,150000.0,un,disponivel,Almox
8547530,CIMENTO RESINOSO (237574),RELYX U200,3M SOLVENTUM,Odontológico,40000.0,un,disponivel,Almox
10176594,CLAREADOR,CLAREADOR,WHITENESS PERFECT 16%,Odontológico,0.0,un,disponivel,e-mail padronizados@fob.usp.br
8687498,CLAREADOR,CLAREADOR,WHITENESS HP 35%,Odontológico,0.0,un,disponivel,e-mail padronizados@fob.usp.br
9856110,CLAREADOR,CLAREADOR,WHITENESS PERBORATO,Odontológico,0.0,un,disponivel,e-mail padronizados@fob.usp.br
9565213/10177620,CLEAR FILL SE,-,KURARAY,Odontológico,0.0,un,disponivel,Almox
8287104,CLIPE (219649),-,TOP,Papelaria,1040000.0,un,disponivel,Almox
7883277,CLIPE (219649),-,TOP,Papelaria,1230000.0,un,disponivel,Almox
5606330,CLIPE (219649),-,PUPYLEX,Papelaria,1020000.0,un,disponivel,Almox
