Ano;Compra;Gerenciadora;Participante;Cadastro;Início Adesão;Fim Adesão;Início RP;Fim RP;Tipo;Situação;Bem;Grupo;Classe;Item;Marca;Modelo;Total;Restante;Percentual;Preço Referencial;Preço Final;Qtd.CompraAta
2025;44597;FOB    ;FOB    ;07/05/2025 16:24;08/05/2025 14:40;12/05/2025 17:59;01/09/2025 00:00;31/08/2026 00:00;Setorizada;Vigente;6506445;ARTIGOS DE HIGIENE;ARTIGOS DE PAPEL PARA HIGIENE PESSOAL;GUARDANAPO DE PAPEL,MED(30 X 32)CM, FLS.SIMPLES,GOFRADO,BRANCO;Vitória; ;700,00;100,00;77,78;5,860;3,190;29;
2025;44597;FOB    ;FOB    ;07/05/2025 16:24;08/05/2025 14:40;12/05/2025 17:59;01/09/2025 00:00;31/08/2026 00:00;Setorizada;Vigente;7128363;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA,.;UTENSILIOS DE LIMPEZA;ESPONJA PARA LIMPEZA DUPLA FACE,(110X75X20)MM,RETANG.VERDE/AMARELO;FUZUÊ; ;500,00;0,00;41,67;1,100;0,680;29;
2025;44597;FOB    ;FOB    ;07/05/2025 16:24;08/05/2025 14:40;12/05/2025 17:59;01/09/2025 00:00;31/08/2026 00:00;Setorizada;Vigente;7816421;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA,.;COMPOSTOS E PREPARADOS PARA LIMPEZA E P.;detergente liquido,c/ glicerina,neutro,c/ bico dosador;Rende mais; ;500,00;0,00;52,63;2,150;1,480;29;
2025;44597;FOB    ;FOB    ;07/05/2025 16:24;08/05/2025 14:40;12/05/2025 17:59;01/09/2025 00:00;31/08/2026 00:00;Setorizada;Vigente;7839588;GENEROS ALIMENTICIOS;ACUCARES E ARTIGOS PARA CONFEITARIAS;acucar novo refinado;DA CANA; ;600,00;260,00;33,33;4,800;4,500;29;
2025;44597;FOB    ;FOB    ;07/05/2025 16:24;08/05/2025 14:40;12/05/2025 17:59;01/09/2025 00:00;31/08/2026 00:00;Setorizada;Vigente;7984065;RECIPIENTES E MATERIAIS PARA ACONDICION.;EMBALAGENS PARA ACONDICIONAMENTOS DE AL.;" COM LARGURA DE 45CM; COM ESPESSURA DE 11 MICRAS; O DIAMETRO DO TUBETE NAO PODE SER SUPERIOR A 45MM;";VABENE; ;100,00;0,00;100,00;9,470;4,800;29;
2025;44597;FOB    ;FOB    ;07/05/2025 16:24;08/05/2025 14:40;12/05/2025 17:59;01/09/2025 00:00;31/08/2026 00:00;Setorizada;Vigente;8056501;GENEROS ALIMENTICIOS;CAFES, CHAS, ACHOCOLATADOS E OUTRAS BEB.;" MATE SOLUVEL; COMPOSTO DE ERVA MATE TOSTADA, SOLUVEL; ISENTO DE SUJIDADES, FRAGMENTOS DE INSETOS E";PICOLO;250GR;400,00;0,00;76,92;9,940;3,480;29;
2025;44597;FOB    ;FOB    ;07/05/2025 16:24;08/05/2025 14:40;12/05/2025 17:59;01/09/2025 00:00;31/08/2026 00:00;Setorizada;Vigente;8087512;GENEROS ALIMENTICIOS;ALIMENTOS DIETETICOS E PARA DIETAS ESPE.;ADOCANTE DIETETICO LIQUIDO, SUCRALOSE, ACESULFAME DE POTASSIO;Zerocal; ;200,00;0,00;66,67;9,250;8,945;29;
2025;44597;FOB    ;FOB    ;07/05/2025 16:24;08/05/2025 14:40;12/05/2025 17:59;01/09/2025 00:00;31/08/2026 00:00;Setorizada;Vigente;8622400;EQUIPAMENTOS E UTENSILIOS PARA REFEITOR.;ARTIGOS PARA SERVICOS DE MESA;COPO DESCARTAVEL POLIPROPILENO,50ML,BRANCO,CD COPO 0,75G,EM MANGA; ALTACOPPO; ;400,00;0,00;66,67;4,990;2,320;29;
2025;44597;FOB    ;FOB    ;07/05/2025 16:24;08/05/2025 14:40;12/05/2025 17:59;01/09/2025 00:00;31/08/2026 00:00;Setorizada;Vigente;8622418;EQUIPAMENTOS E UTENSILIOS PARA REFEITOR.;ARTIGOS PARA SERVICOS DE MESA;COPO DESCARTAVEL POLIPROPILENO,200ML,BRANCO,CD COPO 1,80G,EM MANGA;KEROCOPO; ;1.200,00;700,00;72,73;6,190;3,400;29;
2025;44597;FOB    ;FOB    ;07/05/2025 16:24;08/05/2025 14:40;12/05/2025 17:59;01/09/2025 00:00;31/08/2026 00:00;Setorizada;Vigente;8652767;RECIPIENTES E MATERIAIS PARA ACONDICION.;EMBALAGENS PARA ACONDICIONAMENTOS DE AL.;FILME PARA ALIMENTOS, EM PLASTICO ADERENTE DE PVC;Dispafilm;45x600m;10,00;0,00;100,00;141,750;110,000;29;
2025;44597;FOB    ;FOB    ;07/05/2025 16:24;08/05/2025 14:40;12/05/2025 17:59;01/09/2025 00:00;31/08/2026 00:00;Setorizada;Vigente;9091998;GENEROS ALIMENTICIOS;CAFES, CHAS, ACHOCOLATADOS E OUTRAS BEB.;cafe especial superior, torrado, moido, embalagem a vacuo;AROMA DE OURO;SUPERIOR;1.500,00;500,00;42,25;33,360;22,990;29;
2025;44597;FOB    ;FOB    ;07/05/2025 16:24;08/05/2025 14:40;12/05/2025 17:59;01/09/2025 00:00;31/08/2026 00:00;Setorizada;Vigente;9933891;EQUIPAMENTOS E UTENSILIOS PARA REFEITOR.;RECIPIENTES E UTENSILIOS DE COZINHA;FILTRO DE PAPEL 103;KAVA;103;500,00;0,00;54,35;4,660;2,990;29;
2026;67394;FOB    ;FOB    ;15/05/2026 13:34; ; ;26/05/2026 00:00;26/05/2027 00:00;Setorizada;Vigente;6192890;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;LUVA CIRURGICA NUMERACAO 6,5 PUNHO DE 4 A 6 CM;MEDIX;MEDIX;2.000,00;0,00;57,14;3,290;1,290;5;
2026;67394;FOB    ;FOB    ;15/05/2026 13:34; ; ;26/05/2026 00:00;26/05/2027 00:00;Setorizada;Vigente;6192904;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;LUVA CIRURGICA NUMERACAO 7,0, PUNHO DE  4 A 6 CM;MEDIX;MEDIX;1.200,00;0,00;44,44;3,370;1,380;5;
2026;67394;FOB    ;FOB    ;15/05/2026 13:34; ; ;26/05/2026 00:00;26/05/2027 00:00;Setorizada;Vigente;6192920;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;LUVA CIRURGICA NUMERACAO 7,5, PUNHO DE 4 A 6 CM;MEDIX;MEDIX;1.000,00;0,00;40,00;3,900;1,290;5;
2026;67394;FOB    ;FOB    ;15/05/2026 13:34; ; ;26/05/2026 00:00;26/05/2027 00:00;Setorizada;Vigente;6192939;EQUIPAMENTOS E ARTIGOS DE USO MEDICO, O.;MATERIAIS DE USO TECNICO HOSPITALAR COM.;LUVA CIRURGICA NUMERACAO 8,0, PUNHO DE 4 A 6 CM;MEDIX;MEDIX;500,00;300,00;25,00;3,100;1,290;5;
